,rk,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,game_duration
0,1,SFO,2019,2020-02-02,6:30,6:30,Neutral,KAN,21,20,Sun,L 20-31,,20,31,-11,51,1.5,not covered,52.5,under,20,31,64.5,210,1,2,1,9,67.9,22,141,6.41,1,351,54,6.5000,75,5.2933,2,26:47,3:29
1,2,GNB,2019,2020-01-19,6:40,3:40,Away,SFO,20,19,Sun,L 20-37,,20,37,-17,57,8.0,not covered,46.5,over,31,39,79.5,296,2,2,3,30,94.0,16,62,3.88,1,358,58,6.1724,51,6.9412,3,31:13,3:03
2,3,TEN,2019,2020-01-19,3:05,2:05,Away,KAN,20,20,Sun,L 24-35,,24,35,-11,59,7.5,not covered,51.0,over,22,32,68.8,210,2,0,3,27,107.6,23,85,3.70,1,295,58,5.0862,64,6.3125,,30:10,3:04
3,4,HOU,2019,2020-01-12,3:05,2:05,Away,KAN,19,19,Sun,L 31-51,,31,51,-20,82,10.0,not covered,50.5,over,31,52,59.6,348,2,0,5,40,92.5,21,94,4.48,1,442,78,5.6667,57,7.6140,1,34:35,3:25
4,5,SEA,2019,2020-01-12,6:40,5:40,Away,GNB,19,19,Sun,L 23-28,,23,28,-5,51,4.5,not covered,46.0,over,21,31,67.7,265,1,0,5,12,104.9,24,110,4.58,2,375,60,6.2500,59,5.8305,,30:31,3:09
5,6,MIN,2019,2020-01-11,4:35,1:35,Away,SFO,19,19,Sat,L 10-27,,10,27,-17,37,7.0,not covered,44.5,under,21,29,72.4,126,1,1,6,46,77.7,10,21,2.10,0,147,45,3.2667,68,4.5294,2,21:33,2:49
6,7,TEN,2019,2020-01-11,8:15,8:15,Away,BAL,19,19,Sat,W 28-12,,28,12,16,40,10.0,covered,47.5,under,8,15,53.3,83,3,0,1,8,109.2,37,217,5.86,1,300,53,5.6604,92,5.7609,,27:54,3:13
7,8,MIN,2019,2020-01-05,1:05,12:05,Away,NOR,18,18,Sun,W 26-20,OT,26,20,6,46,7.5,covered,50.0,under,19,31,61.3,226,1,0,3,16,94.3,40,136,3.40,2,362,74,4.8919,54,6.0000,1,36:56,3:18
8,9,SEA,2019,2020-01-05,4:40,4:40,Away,PHI,18,18,Sun,W 17-9,,17,9,8,26,1.0,covered,44.0,under,18,30,60.0,318,1,0,1,7,107.4,26,64,2.46,1,382,57,6.7018,61,4.6230,,26:45,2:57
9,10,BUF,2019,2020-01-04,4:35,3:35,Away,HOU,18,18,Sat,L 19-22,OT,19,22,-3,41,2.5,not covered,43.0,under,25,48,52.1,253,1,0,3,27,74.4,30,172,5.73,0,425,81,5.2469,65,5.5385,1,35:15,3:38
10,11,TEN,2019,2020-01-04,8:15,8:15,Away,NWE,18,18,Sat,W 20-13,,20,13,7,33,4.5,covered,45.0,under,9,16,56.3,71,1,1,1,5,62.2,40,201,5.03,1,272,57,4.7719,59,5.2034,1,31:09,2:57
11,12,ATL,2019,2019-12-29,1:00,1:00,Away,TAM,17,16,Sun,W 28-22,OT,28,22,6,50,1.0,covered,48.0,over,30,51,58.8,286,1,0,6,27,81.0,30,87,2.90,0,373,87,4.2874,46,7.1522,1,36:22,3:13
12,13,BUF,2019,2019-12-29,1:00,1:00,Home,NYJ,17,16,Sun,L 6-13,,6,13,-7,19,1.5,not covered,37.0,under,21,40,52.5,236,0,2,1,1,49.6,20,73,3.65,0,309,61,5.0656,65,4.1692,3,28:39,3:01
13,14,CAR,2019,2019-12-29,1:00,1:00,Home,NOR,17,16,Sun,L 10-42,,10,42,-32,52,13.5,not covered,45.0,over,26,49,53.1,288,0,2,2,11,53.8,18,41,2.28,1,329,69,4.7681,67,5.6567,3,24:20,3:06
14,15,CIN,2019,2019-12-29,1:00,1:00,Home,CLE,17,16,Sun,W 33-23,,33,23,10,56,2.5,covered,44.0,over,16,28,57.1,182,1,1,1,8,73.8,39,179,4.59,3,361,68,5.3088,53,5.9057,1,34:41,3:00
15,16,ARI,2019,2019-12-29,4:25,1:25,Away,LAR,17,16,Sun,L 24-31,,24,31,-7,55,7.0,push,46.0,over,27,43,62.8,322,2,2,1,3,81.7,17,71,4.18,1,393,61,6.4426,79,5.3671,5,23:02,3:19
16,17,DET,2019,2019-12-29,1:00,1:00,Home,GNB,17,16,Sun,L 20-23,,20,23,-3,43,13.5,covered,44.0,under,13,30,43.3,134,1,1,1,7,54.0,25,171,6.84,1,305,56,5.4464,86,5.0233,1,25:04,3:20
17,18,HOU,2019,2019-12-29,4:25,3:25,Home,TEN,17,16,Sun,L 14-35,,14,35,-21,49,10.0,not covered,43.0,over,21,36,58.3,192,0,1,4,33,61.3,25,109,4.36,2,301,65,4.6308,60,7.7833,1,31:39,2:53
