,rk,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions2,pass_attempts2,completion_percentage2,passing_yards2,passing_touchdowns2,interceptions2,times_sacked2,sack_yards_lost2,qbr2,rushing_attempts2,rushing_yards2,rushing_yards_per_attempt2,rushing_touchdowns2,total_yards2,turnovers2
0,1,SFO,2019,2020-02-02,6:30,6:30,Neutral,KAN,21,20,Sun,L 20-31,,1.5,not covered,52.5,under,26,42,61.9,268,2,2,4,18,76.3,29,129,4.45,2,397,2
1,2,GNB,2019,2020-01-19,6:40,3:40,Away,SFO,20,19,Sun,L 20-37,,8.0,not covered,46.5,over,6,8,75.0,69,0,0,1,8,100.5,42,285,6.79,4,354,
2,3,TEN,2019,2020-01-19,3:05,2:05,Away,KAN,20,20,Sun,L 24-35,,7.5,not covered,51.0,over,23,35,65.7,292,3,0,2,2,120.2,27,112,4.15,2,404,
3,4,HOU,2019,2020-01-12,3:05,2:05,Away,KAN,19,19,Sun,L 31-51,,10.0,not covered,50.5,over,23,35,65.7,316,5,0,1,5,134.0,21,118,5.62,2,434,1
4,5,SEA,2019,2020-01-12,6:40,5:40,Away,GNB,19,19,Sun,L 23-28,,4.5,not covered,46.0,over,16,27,59.3,235,2,0,2,8,112.4,30,109,3.63,2,344,
5,6,MIN,2019,2020-01-11,4:35,1:35,Away,SFO,19,19,Sat,L 10-27,,7.0,not covered,44.5,under,11,19,57.9,122,1,1,2,9,72.7,47,186,3.96,2,308,2
6,7,TEN,2019,2020-01-11,8:15,8:15,Away,BAL,19,19,Sat,W 28-12,,10.0,covered,47.5,under,31,59,52.5,345,1,2,4,20,61.8,29,185,6.38,0,530,3
7,8,MIN,2019,2020-01-05,1:05,12:05,Away,NOR,18,18,Sun,W 26-20,OT,7.5,covered,50.0,under,27,34,79.4,227,1,1,3,31,92.0,17,97,5.71,1,324,2
8,9,SEA,2019,2020-01-05,4:40,4:40,Away,PHI,18,18,Sun,W 17-9,,1.0,covered,44.0,under,19,28,67.9,162,0,0,7,15,82.7,26,120,4.62,0,282,
9,10,BUF,2019,2020-01-04,4:35,3:35,Away,HOU,18,18,Sat,L 19-22,OT,2.5,not covered,43.0,under,20,25,80.0,219,1,0,7,28,116.5,33,141,4.27,1,360,1
10,11,TEN,2019,2020-01-04,8:15,8:15,Away,NWE,18,18,Sat,W 20-13,,4.5,covered,45.0,under,20,37,54.1,209,0,1,0,0,59.4,22,98,4.45,1,307,2
11,12,ATL,2019,2019-12-29,1:00,1:00,Away,TAM,17,16,Sun,W 28-22,OT,1.0,covered,48.0,over,13,24,54.2,193,2,2,1,8,73.8,21,136,6.48,0,329,3
12,13,BUF,2019,2019-12-29,1:00,1:00,Home,NYJ,17,16,Sun,L 6-13,,1.5,not covered,37.0,under,23,36,63.9,185,1,1,2,14,74.4,27,86,3.19,0,271,1
13,14,CAR,2019,2019-12-29,1:00,1:00,Home,NOR,17,16,Sun,L 10-42,,13.5,not covered,45.0,over,20,31,64.5,264,3,0,1,3,123.6,35,115,3.29,2,379,
14,15,CIN,2019,2019-12-29,1:00,1:00,Home,CLE,17,16,Sun,W 33-23,,2.5,covered,44.0,over,12,27,44.4,239,3,3,6,40,73.5,20,74,3.70,0,313,3
15,16,ARI,2019,2019-12-29,4:25,1:25,Away,LAR,17,16,Sun,L 24-31,,7.0,push,46.0,over,29,45,64.4,311,3,0,1,8,106.8,33,113,3.42,1,424,
16,17,DET,2019,2019-12-29,1:00,1:00,Home,GNB,17,16,Sun,L 20-23,,13.5,covered,44.0,under,27,55,49.1,312,2,1,1,11,71.2,30,120,4.00,0,432,1
17,18,HOU,2019,2019-12-29,4:25,3:25,Home,TEN,17,16,Sun,L 14-35,,10.0,not covered,43.0,over,14,21,66.7,222,2,0,0,0,133.4,39,245,6.28,3,467,
18,19,JAX,2019,2019-12-29,4:25,4:25,Home,IND,17,16,Sun,W 38-20,,5.0,covered,41.5,over,12,25,48.0,143,0,0,3,19,65.9,27,132,4.89,2,275,2
19,20,MIA,2019,2019-12-29,1:00,1:00,Away,NWE,17,16,Sun,W 27-24,,17.5,covered,46.0,over,16,29,55.2,217,2,1,1,4,87.9,27,135,5.00,1,352,2
21,21,MIN,2019,2019-12-29,1:00,3:00,Home,CHI,17,16,Sun,L 19-21,,5.0,covered,36.5,over,26,37,70.3,179,0,0,4,28,80.8,34,158,4.65,1,337,1
22,22,NYG,2019,2019-12-29,4:25,4:25,Home,PHI,17,16,Sun,L 17-34,,4.0,not covered,44.0,over,23,40,57.5,279,1,0,1,10,87.4,31,121,3.90,3,400,
23,23,OAK,2019,2019-12-29,4:25,2:25,Away,DEN,17,16,Sun,L 15-16,,5.5,covered,41.5,under,17,28,60.7,168,1,0,2,9,89.6,27,70,2.59,0,238,1
24,24,BAL,2019,2019-12-29,4:25,4:25,Home,PIT,17,16,Sun,W 28-10,,2.0,covered,35.0,over,9,25,36.0,77,0,0,2,18,44.9,23,91,3.96,1,168,2
25,25,LAC,2019,2019-12-29,1:00,12:00,Away,KAN,17,16,Sun,L 21-31,,10.0,push,46.0,over,16,25,64.0,174,1,1,0,0,81.1,23,162,7.04,2,336,1
26,26,SEA,2019,2019-12-29,8:20,5:20,Home,SFO,17,16,Sun,L 21-26,,3.5,not covered,47.0,push,18,22,81.8,270,0,0,2,15,117.8,24,128,5.33,3,398,
27,27,WAS,2019,2019-12-29,4:25,3:25,Away,DAL,17,16,Sun,L 16-47,,12.5,not covered,47.5,over,23,33,69.7,294,4,0,3,9,136.9,36,223,6.19,1,517,1
