,Unnamed: 0,Unnamed: 0.1,team,opponent,week,home,away,points_for,points_against,over_under,yards_per_play_offense,yards_allowed_per_defensive_play,total_yards,total_yards_allowed,turnovers_lost,sacks,times_sacked,win?,loss?,covered_spread?,opponent_covered_spread?,game_id,total_wins,total_losses,spread,opponent_spread,favorite,underdog,rushing_attempts,rushing_yards,rushing_yards_per_attempt,time_of_possession,penalty_yards,passing_yards_per_attempt,FGA,FGM
0,0,0,CARDINALS,LIONS,1,1,0,27,27,45.5,4.7195,5.9625,387,477,1,3,5,0,0,1,0,258,0,0,2.5,-2.5,0,1,23.0,112.0,4.87,0.5102777777777778,35.0,5.092592592592593,4.0,4.0
1,1,1,FALCONS,VIKINGS,1,0,1,12,28,47.0,5.1493,5.4898,345,269,3,1,4,0,1,0,1,253,0,1,3.5,-3.5,0,1,17.0,73.0,4.29,0.5036111111111111,78.0,5.913043478260869,0.0,0.0
2,2,2,RAVENS,DOLPHINS,1,0,1,59,10,41.0,8.80821917808219,4.25531914893617,643,200,0,3,1,1,0,1,0,260,1,0,-7.0,7.0,1,0,46.0,265.0,5.76,0.6686111111111109,40.0,14.538461538461537,1.0,1.0
3,3,3,BILLS,JETS,1,0,1,17,16,41.0,5.872999999999998,3.3788,370,223,4,4,1,1,0,1,0,254,1,0,2.5,-2.5,0,1,25.0,128.0,5.12,0.4663888888888889,55.0,6.54054054054054,1.0,1.0
4,4,4,PANTHERS,RAMS,1,1,0,27,30,49.5,5.3594,4.8472,343,349,3,1,3,0,1,0,1,255,0,1,1.5,-1.5,0,1,23.0,127.0,5.52,0.4455555555555556,46.0,5.684210526315789,3.0,2.0
5,5,5,BEARS,PACKERS,1,1,0,3,10,47.0,3.9076923076923102,3.73684210526316,254,213,1,5,5,0,1,0,1,266,0,1,-3.5,3.5,1,0,15.0,46.0,3.07,0.4824999999999999,107.0,4.622222222222222,1.0,1.0
6,6,6,BENGALS,SEAHAWKS,1,0,1,20,21,44.0,6.1286,4.7347,429,232,3,4,5,0,1,1,0,256,0,1,10.0,-10.0,0,1,14.0,34.0,2.43,0.5972222222222222,57.0,7.745098039215686,3.0,2.0
7,7,7,BROWNS,TITANS,1,1,0,13,43,44.0,5.49206349206349,6.053571428571429,346,339,3,4,5,0,1,0,1,262,0,1,-5.5,5.5,1,0,20.0,102.0,5.1,0.5116666666666667,182.0,6.421052631578947,0.0,0.0
8,8,8,COWBOYS,GIANTS,1,1,0,35,17,44.0,7.96774193548387,7.12121212121212,494,470,0,1,0,1,0,1,0,261,1,0,-7.5,7.5,1,0,30.0,89.0,2.97,0.5383333333333333,47.0,12.65625,0.0,0.0
9,9,9,BRONCOS,RAIDERS,1,0,1,16,24,42.5,6.035087719298249,6.611111111111112,344,357,0,0,3,0,1,0,1,252,0,1,-3.0,3.0,1,0,23.0,95.0,4.13,0.4541666666666667,44.0,8.03225806451613,4.0,3.0
10,10,10,LIONS,CARDINALS,1,0,1,27,27,45.5,5.9625,4.71951219512195,477,387,2,5,3,0,0,0,1,258,0,0,-2.5,2.5,1,0,32.0,116.0,3.63,0.4897222222222222,59.0,8.022222222222222,2.0,2.0
11,11,11,PACKERS,BEARS,1,0,1,10,3,47.0,3.7368,3.9077,213,254,0,5,5,1,0,1,0,266,1,0,3.5,-3.5,0,1,22.0,47.0,2.14,0.5175000000000001,71.0,5.533333333333332,1.0,1.0
12,12,12,TEXANS,SAINTS,1,0,1,28,30,52.0,7.0169,7.8462,414,510,1,1,6,0,1,1,0,251,0,1,6.5,-6.5,0,1,23.0,180.0,7.83,0.4963888888888889,69.0,7.8,0.0,0.0
13,13,13,COLTS,CHARGERS,1,0,1,24,30,44.5,6.0645,7.3729,376,435,0,4,2,0,1,0,1,257,0,1,6.0,-6.0,0,1,33.0,203.0,6.15,0.5358333333333333,10.0,6.407407407407407,3.0,1.0
14,14,14,JAGUARS,CHIEFS,1,1,0,26,40,49.0,8.56,8.1833,428,491,2,0,1,0,1,0,1,259,0,1,3.5,-3.5,0,1,16.0,81.0,5.06,0.4791666666666667,71.0,10.515151515151516,2.0,2.0
15,15,15,CHIEFS,JAGUARS,1,0,1,40,26,49.0,8.18333333333333,8.56,491,428,0,1,0,1,0,1,0,259,1,0,-3.5,3.5,1,0,26.0,113.0,4.35,0.5208333333333333,55.0,11.117647058823529,4.0,4.0
16,16,16,CHARGERS,COLTS,1,1,0,30,24,44.5,7.3728813559322,6.06451612903226,435,376,2,2,4,1,0,1,0,257,1,0,-6.0,6.0,1,0,21.0,125.0,5.95,0.4641666666666667,20.0,9.117647058823527,1.0,1.0
17,17,17,RAMS,PANTHERS,1,0,1,30,27,49.5,4.84722222222222,5.359375,349,343,1,3,1,1,0,1,0,255,1,0,-1.5,1.5,1,0,32.0,166.0,5.19,0.5544444444444444,43.0,4.6923076923076925,4.0,3.0
