,team1,home_away,team2,week,Game_Number,win1?,OT,points_1,points_2,point_differential,combined_points,spread,team1_covered_spread?,over_under,over_under_result?,pass_completions1,pass_attempts1,completion_percentage1,passing_yards1,passing_touchdowns1,interceptions1,times_sacked1,sack_yards_lost1,qbr1,rushing_attempts1,rushing_yards1,rushing_yards_per_attempt1,rushing_touchdowns1,total_yards1,offensive_plays1,yards_per_play_offense1,defensive_plays1,yards_allowed_per_defensive_play1,turnovers_lost1,time_of_possession1,pass_completions2,pass_attempts2,completion_percentage2,passing_yards2,passing_touchdowns2,interceptions2,times_sacked2,sack_yards_lost2,qbr2,rushing_attempts2,rushing_yards2,rushing_yards_per_attempt2,rushing_touchdowns2,total_yards2,turnovers2,penalty_yards1,penalty_yards2,Total_TD1,XPA_1,XPM_1,FGA1,FGM1,Sfty1,Total_TD2,XPA2,XPM2,FGA2,FGM2,Sfty2,game_date_time,time_of_possession2,team2_covered_spread?,offensive_plays2,yards_per_play_offense2,defensive_plays2,yards_allowed_per_defensive_play2,passing_yards_per_attempt1,passing_yards_per_attempt2
0,SFO,Neutral,KAN,21.0,20.0,-1.0,0.0,20.0,31.0,-11.0,51.0,1.5,0.0,52.5,-1.0,20.0,31.0,64.5,210.0,1.0,2.0,1.0,9.0,67.9,22.0,141.0,6.41,1.0,351.0,54.0,6.5,75.0,5.2933,2.0,0.4463888888888889,26.0,42.0,61.9,268.0,2.0,2.0,4.0,18.0,76.3,29.0,129.0,4.45,2.0,397.0,2.0,45.0,24.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,2020-02-02 06:30:00,0.553611111111111,1.0,75.0,5.293333333333333,54.0,6.5,6.774193548387097,6.380952380952381
1,GNB,Away,SFO,20.0,19.0,-1.0,0.0,20.0,37.0,-17.0,57.0,8.0,0.0,46.5,1.0,31.0,39.0,79.5,296.0,2.0,2.0,3.0,30.0,94.0,16.0,62.0,3.88,1.0,358.0,58.0,6.1724,51.0,6.9412,3.0,0.5202777777777778,6.0,8.0,75.0,69.0,0.0,0.0,1.0,8.0,100.5,42.0,285.0,6.79,4.0,354.0,0.0,46.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,0.0,2020-01-19 06:40:00,0.47972222222222216,1.0,51.0,6.9411764705882355,58.0,6.172413793103448,7.589743589743589,8.625
2,TEN,Away,KAN,20.0,20.0,-1.0,0.0,24.0,35.0,-11.0,59.0,7.5,0.0,51.0,1.0,22.0,32.0,68.8,210.0,2.0,0.0,3.0,27.0,107.6,23.0,85.0,3.7,1.0,295.0,58.0,5.0862,64.0,6.3125,0.0,0.5027777777777778,23.0,35.0,65.7,292.0,3.0,0.0,2.0,2.0,120.2,27.0,112.0,4.15,2.0,404.0,0.0,85.0,61.0,3.0,3.0,3.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,2020-01-19 03:05:00,0.49722222222222223,1.0,64.0,6.3125,58.0,5.086206896551724,6.5625,8.342857142857143
3,HOU,Away,KAN,19.0,19.0,-1.0,0.0,31.0,51.0,-20.0,82.0,10.0,0.0,50.5,1.0,31.0,52.0,59.6,348.0,2.0,0.0,5.0,40.0,92.5,21.0,94.0,4.48,1.0,442.0,78.0,5.6667,57.0,7.614,1.0,0.5763888888888888,23.0,35.0,65.7,316.0,5.0,0.0,1.0,5.0,134.0,21.0,118.0,5.62,2.0,434.0,1.0,87.0,37.0,4.0,4.0,4.0,2.0,1.0,0.0,7.0,7.0,6.0,1.0,1.0,0.0,2020-01-12 03:05:00,0.42361111111111116,1.0,57.0,7.614035087719298,78.0,5.666666666666667,6.6923076923076925,9.028571428571428
4,SEA,Away,GNB,19.0,19.0,-1.0,0.0,23.0,28.0,-5.0,51.0,4.5,0.0,46.0,1.0,21.0,31.0,67.7,265.0,1.0,0.0,5.0,12.0,104.9,24.0,110.0,4.58,2.0,375.0,60.0,6.25,59.0,5.8305,0.0,0.5086111111111111,16.0,27.0,59.3,235.0,2.0,0.0,2.0,8.0,112.4,30.0,109.0,3.63,2.0,344.0,0.0,47.0,30.0,3.0,2.0,2.0,2.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,2020-01-12 06:40:00,0.4913888888888889,1.0,59.0,5.830508474576271,60.0,6.25,8.548387096774194,8.703703703703704
5,MIN,Away,SFO,19.0,19.0,-1.0,0.0,10.0,27.0,-17.0,37.0,7.0,0.0,44.5,-1.0,21.0,29.0,72.4,126.0,1.0,1.0,6.0,46.0,77.7,10.0,21.0,2.1,0.0,147.0,45.0,3.2667,68.0,4.5294,2.0,0.35916666666666663,11.0,19.0,57.9,122.0,1.0,1.0,2.0,9.0,72.7,47.0,186.0,3.96,2.0,308.0,2.0,15.0,38.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,0.0,2020-01-11 04:35:00,0.6408333333333334,1.0,68.0,4.529411764705882,45.0,3.2666666666666666,4.344827586206897,6.421052631578948
6,TEN,Away,BAL,19.0,19.0,1.0,0.0,28.0,12.0,16.0,40.0,10.0,1.0,47.5,-1.0,8.0,15.0,53.3,83.0,3.0,0.0,1.0,8.0,109.2,37.0,217.0,5.86,1.0,300.0,53.0,5.6604,92.0,5.7609,0.0,0.465,31.0,59.0,52.5,345.0,1.0,2.0,4.0,20.0,61.8,29.0,185.0,6.38,0.0,530.0,3.0,20.0,56.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2020-01-11 08:15:00,0.5349999999999999,0.0,92.0,5.760869565217392,53.0,5.660377358490566,5.533333333333333,5.8474576271186445
7,MIN,Away,NOR,18.0,18.0,1.0,1.0,26.0,20.0,6.0,46.0,7.5,1.0,50.0,-1.0,19.0,31.0,61.3,226.0,1.0,0.0,3.0,16.0,94.3,40.0,136.0,3.4,2.0,362.0,74.0,4.8919,54.0,6.0,1.0,0.6155555555555555,27.0,34.0,79.4,227.0,1.0,1.0,3.0,31.0,92.0,17.0,97.0,5.71,1.0,324.0,2.0,26.0,52.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,2020-01-05 01:05:00,0.3844444444444445,0.0,54.0,6.0,74.0,4.891891891891892,7.290322580645161,6.676470588235294
8,SEA,Away,PHI,18.0,18.0,1.0,0.0,17.0,9.0,8.0,26.0,1.0,1.0,44.0,-1.0,18.0,30.0,60.0,318.0,1.0,0.0,1.0,7.0,107.4,26.0,64.0,2.46,1.0,382.0,57.0,6.7018,61.0,4.623,0.0,0.44583333333333336,19.0,28.0,67.9,162.0,0.0,0.0,7.0,15.0,82.7,26.0,120.0,4.62,0.0,282.0,0.0,114.0,45.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2020-01-05 04:40:00,0.5541666666666667,0.0,61.0,4.622950819672131,57.0,6.701754385964913,10.6,5.785714285714286
9,BUF,Away,HOU,18.0,18.0,-1.0,1.0,19.0,22.0,-3.0,41.0,2.5,0.0,43.0,-1.0,25.0,48.0,52.1,253.0,1.0,0.0,3.0,27.0,74.4,30.0,172.0,5.73,0.0,425.0,81.0,5.2469,65.0,5.5385,1.0,0.5875,20.0,25.0,80.0,219.0,1.0,0.0,7.0,28.0,116.5,33.0,141.0,4.27,1.0,360.0,1.0,64.0,20.0,1.0,1.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2020-01-04 04:35:00,0.4125,1.0,65.0,5.538461538461538,81.0,5.246913580246914,5.270833333333333,8.76
