,team1,year,date,time,local_time,home_away,team2,Week,Game_Number,day,win1?,OT,penalty_yards1,penalty_yards2
0,SFO,2019,2020-02-02,6:30,6:30,N,KAN,21,20,Sun,L 20-31,,45,24
1,GNB,2019,2020-01-19,6:40,3:40,@,SFO,20,19,Sun,L 20-37,,46,10
2,TEN,2019,2020-01-19,3:05,2:05,@,KAN,20,20,Sun,L 24-35,,85,61
3,HOU,2019,2020-01-12,3:05,2:05,@,KAN,19,19,Sun,L 31-51,,87,37
4,SEA,2019,2020-01-12,6:40,5:40,@,GNB,19,19,Sun,L 23-28,,47,30
5,MIN,2019,2020-01-11,4:35,1:35,@,SFO,19,19,Sat,L 10-27,,15,38
6,TEN,2019,2020-01-11,8:15,8:15,@,BAL,19,19,Sat,W 28-12,,20,56
7,MIN,2019,2020-01-05,1:05,12:05,@,NOR,18,18,Sun,W 26-20,OT,26,52
8,SEA,2019,2020-01-05,4:40,4:40,@,PHI,18,18,Sun,W 17-9,,114,45
9,BUF,2019,2020-01-04,4:35,3:35,@,HOU,18,18,Sat,L 19-22,OT,64,20
10,TEN,2019,2020-01-04,8:15,8:15,@,NWE,18,18,Sat,W 20-13,,25,28
11,ATL,2019,2019-12-29,1:00,1:00,@,TAM,17,16,Sun,W 28-22,OT,53,97
12,BUF,2019,2019-12-29,1:00,1:00,,NYJ,17,16,Sun,L 6-13,,40,13
13,CAR,2019,2019-12-29,1:00,1:00,,NOR,17,16,Sun,L 10-42,,54,44
14,CIN,2019,2019-12-29,1:00,1:00,,CLE,17,16,Sun,W 33-23,,20,33
15,ARI,2019,2019-12-29,4:25,1:25,@,LAR,17,16,Sun,L 24-31,,63,91
16,DET,2019,2019-12-29,1:00,1:00,,GNB,17,16,Sun,L 20-23,,50,97
17,HOU,2019,2019-12-29,4:25,3:25,,TEN,17,16,Sun,L 14-35,,35,37
18,JAX,2019,2019-12-29,4:25,4:25,,IND,17,16,Sun,W 38-20,,27,36
19,MIA,2019,2019-12-29,1:00,1:00,@,NWE,17,16,Sun,W 27-24,,35,54
21,MIN,2019,2019-12-29,1:00,3:00,,CHI,17,16,Sun,L 19-21,,40,34
22,NYG,2019,2019-12-29,4:25,4:25,,PHI,17,16,Sun,L 17-34,,48,55
23,OAK,2019,2019-12-29,4:25,2:25,@,DEN,17,16,Sun,L 15-16,,107,61
24,BAL,2019,2019-12-29,4:25,4:25,,PIT,17,16,Sun,W 28-10,,35,47
25,LAC,2019,2019-12-29,1:00,12:00,@,KAN,17,16,Sun,L 21-31,,40,39
26,SEA,2019,2019-12-29,8:20,5:20,,SFO,17,16,Sun,L 21-26,,29,57
27,WAS,2019,2019-12-29,4:25,3:25,@,DAL,17,16,Sun,L 16-47,,10,81
28,GNB,2019,2019-12-23,8:15,10:15,@,MIN,16,15,Mon,W 23-10,,20,30
29,CAR,2019,2019-12-22,1:00,1:00,@,IND,16,15,Sun,L 6-38,,46,0
30,CHI,2019,2019-12-22,8:20,7:20,,KAN,16,15,Sun,L 3-26,,50,71
31,CLE,2019,2019-12-22,1:00,1:00,,BAL,16,15,Sun,L 15-31,,62,50
32,ARI,2019,2019-12-22,4:25,1:25,@,SEA,16,15,Sun,W 27-13,,47,55
33,DET,2019,2019-12-22,4:05,2:05,@,DEN,16,15,Sun,L 17-27,,68,50
34,JAX,2019,2019-12-22,1:00,1:00,@,ATL,16,15,Sun,L 12-24,,36,64
35,MIA,2019,2019-12-22,1:00,1:00,,CIN,16,15,Sun,W 38-35,OT,47,77
36,NYJ,2019,2019-12-22,1:00,1:00,,PIT,16,15,Sun,W 16-10,,30,34
37,TEN,2019,2019-12-22,1:00,12:00,,NOR,16,15,Sun,L 28-38,,56,70
38,PHI,2019,2019-12-22,4:25,4:25,,DAL,16,15,Sun,W 17-9,,30,20
39,OAK,2019,2019-12-22,4:05,1:05,@,LAC,16,15,Sun,W 24-17,,47,15
40,WAS,2019,2019-12-22,1:00,1:00,,NYG,16,15,Sun,L 35-41,OT,51,33
42,BUF,2019,2019-12-21,4:30,4:30,@,NWE,16,15,Sat,L 17-24,,46,30
43,LAR,2019,2019-12-21,8:15,5:15,@,SFO,16,15,Sat,L 31-34,,43,26
44,TAM,2019,2019-12-21,1:00,1:00,,HOU,16,15,Sat,L 20-23,,45,35
45,IND,2019,2019-12-16,8:15,7:15,@,NOR,15,14,Mon,L 7-34,,49,52
46,ATL,2019,2019-12-15,4:25,1:25,@,SFO,15,14,Sun,W 29-22,,98,67
47,BUF,2019,2019-12-15,8:20,8:20,@,PIT,15,14,Sun,W 17-10,,70,30
48,CAR,2019,2019-12-15,1:00,1:00,,SEA,15,14,Sun,L 24-30,,15,40
49,CHI,2019,2019-12-15,1:00,12:00,@,GNB,15,14,Sun,L 13-21,,35,30
50,CIN,2019,2019-12-15,1:00,1:00,,NWE,15,14,Sun,L 13-34,,25,30
51,ARI,2019,2019-12-15,4:05,2:05,,CLE,15,14,Sun,W 38-24,,34,55
52,DAL,2019,2019-12-15,4:25,3:25,,LAR,15,14,Sun,W 44-21,,16,29
53,DEN,2019,2019-12-15,1:00,12:00,@,KAN,15,14,Sun,L 3-23,,72,45
54,DET,2019,2019-12-15,1:00,1:00,,TAM,15,14,Sun,L 17-38,,10,70
55,HOU,2019,2019-12-15,1:00,12:00,@,TEN,15,14,Sun,W 24-21,,27,30
56,JAX,2019,2019-12-15,4:05,1:05,@,OAK,15,14,Sun,W 20-16,,87,51
57,MIA,2019,2019-12-15,1:00,1:00,@,NYG,15,14,Sun,L 20-36,,42,32
58,LAC,2019,2019-12-15,4:05,1:05,,MIN,15,14,Sun,L 10-39,,48,41
59,WAS,2019,2019-12-15,1:00,1:00,,PHI,15,14,Sun,L 27-37,,60,54
60,NYJ,2019,2019-12-12,8:20,8:20,@,BAL,15,14,Thu,L 21-42,,94,35
61,NYG,2019,2019-12-09,8:15,8:15,@,PHI,14,13,Mon,L 17-23,OT,54,30
63,BUF,2019,2019-12-08,1:00,1:00,,BAL,14,13,Sun,L 17-24,,49,99
64,CAR,2019,2019-12-08,1:00,1:00,@,ATL,14,13,Sun,L 20-40,,44,58
65,CIN,2019,2019-12-08,1:00,1:00,@,CLE,14,13,Sun,L 19-27,,99,30
66,IND,2019,2019-12-08,1:00,1:00,@,TAM,14,13,Sun,L 35-38,,35,104
67,ARI,2019,2019-12-08,4:25,2:25,,PIT,14,13,Sun,L 17-23,,75,20
68,DEN,2019,2019-12-08,1:00,12:00,@,HOU,14,13,Sun,W 38-24,,50,44
69,DET,2019,2019-12-08,1:00,3:00,@,MIN,14,13,Sun,L 7-20,,28,55
70,JAX,2019,2019-12-08,4:05,4:05,,LAC,14,13,Sun,L 10-45,,101,65
71,KAN,2019,2019-12-08,4:25,4:25,@,NWE,14,13,Sun,W 23-16,,136,25
72,MIA,2019,2019-12-08,1:00,1:00,@,NYJ,14,13,Sun,L 21-22,,48,88
73,OAK,2019,2019-12-08,4:25,1:25,,TEN,14,13,Sun,L 21-42,,20,21
74,SEA,2019,2019-12-08,8:20,5:20,@,LAR,14,13,Sun,L 12-28,,64,20
75,SFO,2019,2019-12-08,1:00,12:00,@,NOR,14,13,Sun,W 48-46,,67,50
76,WAS,2019,2019-12-08,1:00,12:00,@,GNB,14,13,Sun,L 15-20,,25,34
77,CHI,2019,2019-12-05,8:20,7:20,,DAL,14,13,Thu,W 31-24,,30,52
78,MIN,2019,2019-12-02,8:15,5:15,@,SEA,13,12,Mon,L 30-37,,30,30
79,CIN,2019,2019-12-01,1:00,1:00,,NYJ,13,12,Sun,W 22-6,,15,106
80,IND,2019,2019-12-01,1:00,1:00,,TEN,13,12,Sun,L 17-31,,40,33
81,ARI,2019,2019-12-01,4:05,2:05,,LAR,13,12,Sun,L 7-34,,7,81
82,DEN,2019,2019-12-01,4:25,2:25,,LAC,13,12,Sun,W 23-20,,25,82
84,HOU,2019,2019-12-01,8:20,7:20,,NWE,13,12,Sun,W 28-22,,79,60
